First Name,Last Name,Role,Department,Salary,Hire Date,Termination Date
Emp_0,SaaS_0,Specialist,Sales,73278.0,2023-05-21,
Emp_1,SaaS_1,Engineer,Engineering,99256.0,2023-03-13,
Emp_2,SaaS_2,Specialist,Sales,158696.0,2023-10-07,
Emp_3,SaaS_3,Specialist,Sales,147397.0,2023-08-05,
Emp_4,SaaS_4,Specialist,Sales,73905.0,2023-02-17,
Emp_5,SaaS_5,Engineer,Engineering,100495.0,2023-09-16,
Emp_6,SaaS_6,Specialist,Sales,143563.0,2023-04-12,
Emp_7,SaaS_7,Specialist,Customer Success,98893.0,2023-08-18,
Emp_8,SaaS_8,Specialist,Marketing,176093.0,2023-01-04,
Emp_9,SaaS_9,Engineer,Engineering,161506.0,2023-08-05,
Emp_10,SaaS_10,Specialist,Marketing,106421.0,2023-03-21,
Emp_11,SaaS_11,Engineer,Engineering,170072.0,2023-06-22,
Emp_12,SaaS_12,Specialist,Sales,82156.0,2023-07-14,
Emp_13,SaaS_13,Specialist,Sales,117052.0,2023-06-26,
Emp_14,SaaS_14,Specialist,Marketing,175791.0,2023-01-23,
Emp_15,SaaS_15,Specialist,Customer Success,140284.0,2023-03-05,
Emp_16,SaaS_16,Specialist,Customer Success,80328.0,2023-10-10,
Emp_17,SaaS_17,Specialist,Marketing,178711.0,2023-07-05,
Emp_18,SaaS_18,Engineer,Engineering,162349.0,2023-02-05,
Emp_19,SaaS_19,Specialist,Sales,156673.0,2023-04-27,
Emp_20,SaaS_20,Specialist,Marketing,80458.0,2023-04-30,
Emp_21,SaaS_21,Specialist,Sales,119823.0,2023-05-23,
Emp_22,SaaS_22,Specialist,Customer Success,153320.0,2023-07-06,
Emp_23,SaaS_23,Engineer,Engineering,118520.0,2023-07-01,
Emp_24,SaaS_24,Engineer,Engineering,157841.0,2023-05-17,
Emp_25,SaaS_25,Specialist,Sales,149840.0,2023-03-29,
Emp_26,SaaS_26,Engineer,Engineering,91417.0,2023-08-25,
Emp_27,SaaS_27,Specialist,Customer Success,105382.0,2023-10-13,
Emp_28,SaaS_28,Engineer,Engineering,159733.0,2023-06-16,
Emp_29,SaaS_29,Specialist,Sales,100021.0,2023-01-17,
Emp_30,SaaS_30,Specialist,Marketing,122581.0,2023-05-18,
Emp_31,SaaS_31,Specialist,Sales,97653.0,2023-10-18,
Emp_32,SaaS_32,Specialist,Marketing,97869.0,2023-09-13,
Emp_33,SaaS_33,Specialist,Customer Success,154259.0,2023-08-23,
Emp_34,SaaS_34,Engineer,Engineering,104718.0,2023-03-13,
Emp_35,SaaS_35,Engineer,Engineering,167647.0,2023-10-15,
Emp_36,SaaS_36,Specialist,Marketing,167912.0,2023-10-27,
Emp_37,SaaS_37,Specialist,Customer Success,146484.0,2023-07-24,
Emp_38,SaaS_38,Specialist,Marketing,98746.0,2023-03-12,
Emp_39,SaaS_39,Specialist,Customer Success,81915.0,2023-01-25,
